path,folder,extension,bytes,width,height,megapixels,orientation,mode,error
5bb4c796de81648748b57907ba94c607.jpg,_root,.jpg,136511,736,981,0.72,portrait,RGB,
alutech logo.jpg,_root,.jpg,62449,1091,413,0.45,landscape,RGB,
png-transparent-schuco-hd-logo.png,_root,.png,5342,920,421,0.39,landscape,P,
png-transparent-window-siegenia-door-facade-business-window-furniture-text-logo.png,_root,.png,8194,920,401,0.37,landscape,P,
rehau logo.jpg,_root,.jpg,15210,1280,720,0.92,landscape,RGB,
Schüco_2011_logo.svg_.png,_root,.png,5156,1600,286,0.46,landscape,P,
алнео лого.png,_root,.png,100962,2664,660,1.76,landscape,RGBA,
Links\-__4.jpg,Links,.jpg,1735324,1680,1324,2.22,landscape,CMYK,
Links\00001.jpg,Links,.jpg,25743922,4524,3129,14.16,landscape,CMYK,
Links\0003.jpeg,Links,.jpeg,1447443,959,1280,1.23,portrait,CMYK,
Links\0012.jpeg,Links,.jpeg,1253042,959,1280,1.23,portrait,CMYK,
Links\002_4149_2.jpg,Links,.jpg,10667917,4725,3150,14.88,landscape,CMYK,
Links\002_4231_2.jpg,Links,.jpg,10939046,4725,3150,14.88,landscape,CMYK,
Links\0162afa20f98372c9e403c19f6bd036f.jpg,Links,.jpg,1204930,1600,1067,1.71,landscape,CMYK,
Links\0I1A2154_2.jpg,Links,.jpg,12486477,4725,3150,14.88,landscape,CMYK,
Links\0I1A2178-восстановлено.jpg,Links,.jpg,12479917,4725,3150,14.88,landscape,CMYK,
Links\1(9).jpg,Links,.jpg,1932419,1280,850,1.09,landscape,CMYK,
Links\11.jpg,Links,.jpg,699908,1100,1600,1.76,portrait,CMYK,
Links\134eb3c1d3435ec8cc6a131021d226d7-1-2048x1358.jpg,Links,.jpg,1818548,2048,1358,2.78,landscape,CMYK,
Links\1474803_original.jpg,Links,.jpg,7184801,4104,2736,11.23,landscape,CMYK,
Links\14991028_1216275868460813_3117839851033069526_o.jpg,Links,.jpg,3214710,2048,1152,2.36,landscape,CMYK,
Links\15-FIELDVIEW-VIEW-OVER-FIELD-2375-0472-f.1551109003.6166.jpg,Links,.jpg,2188415,2400,1594,3.83,landscape,CMYK,
Links\1558966975attachment_1.png,Links,.png,1151527,2100,1400,2.94,landscape,CMYK,
Links\1a73c8_639e66181f6f4.jpg,Links,.jpg,2742193,1680,1260,2.12,landscape,CMYK,
Links\2-3.jpg,Links,.jpg,2840815,2000,1333,2.67,landscape,CMYK,
Links\2007_37.jpg,Links,.jpg,1871836,1680,1259,2.12,landscape,CMYK,
Links\2017-11-03_8252.jpg,Links,.jpg,13717504,4725,3150,14.88,landscape,CMYK,
Links\2017-11-03_8362.jpg,Links,.jpg,13216361,4725,3150,14.88,landscape,CMYK,
Links\20813604px1920x1280 (1).jpg,Links,.jpg,1731893,1920,1280,2.46,landscape,CMYK,
Links\230-Vic-4.jpg,Links,.jpg,5245898,3238,2590,8.39,landscape,CMYK,
Links\298_amb_43_serie_chalk_smoke_80x160-1280x1024.jpg,Links,.jpg,939775,1280,1024,1.31,landscape,CMYK,
Links\2e1abee06be4bad1e5ccc3067830a8dd.jpg,Links,.jpg,5163490,3263,1695,5.53,landscape,CMYK,
Links\385e4dcd8ef49fe4fa97a31dd34f9f52.jpg,Links,.jpg,1507191,1440,1080,1.56,landscape,CMYK,
Links\3989.jpg,Links,.jpg,8376669,4418,2946,13.02,landscape,CMYK,
Links\581db73369dc3f2d508d23fa5e097995.jpg,Links,.jpg,1443755,2000,1333,2.67,landscape,CMYK,
Links\5ea4f00725a418d26ee915385f83949b.jpg,Links,.jpg,7952330,4048,3040,12.31,landscape,CMYK,
Links\5_SCH-CO-Parametric-Sistem-pic3.jpg,Links,.jpg,4182803,3160,4090,12.92,portrait,CMYK,
Links\777777777777777-2000x1200.jpg,Links,.jpg,1670619,2000,1200,2.4,landscape,CMYK,
Links\78ebcb69469793.5b82d5462790b.jpg,Links,.jpg,2217015,1676,2116,3.55,portrait,CMYK,
Links\810_4171.jpg,Links,.jpg,12816216,4720,3150,14.87,landscape,CMYK,
